설치장소명,설치장소상세,설치시군구명,서비스제공사명,와이파이SSID,WGS84위도,WGS84경도
종로구청 전산교육장,제1별관 5층,종로구,서울특별시 종로구,"PublicWiFi, PublicWiFiSecure@Seoul",37.572657,126.979574
도담도담 한옥도서관,-,종로구,서울특별시 종로구,"PublicWiFi, PublicWiFiSecure@Seoul",37.576908,127.021861
삼청공원 숲속도서관,1층,종로구,서울특별시 종로구,"PublicWiFi, PublicWiFiSecure@Seoul",37.588034,126.984001
부암동주민센터 입구,CCTV 지주(방범43),종로구,서울특별시 종로구,"PublicWiFi, PublicWiFiSecure@Seoul",37.592786,126.964065
청운공원,CCTV 지주(공원12),종로구,서울특별시 종로구,"PublicWiFi, PublicWiFiSecure@Seoul",37.59114,126.966325
청운공원,CCTV 지주(공원31),종로구,서울특별시 종로구,"PublicWiFi, PublicWiFiSecure@Seoul",37.5909,126.96615
청운공원,CCTV 지주(공원43),종로구,서울특별시 종로구,"PublicWiFi, PublicWiFiSecure@Seoul",37.591842,126.966432
황학정 국궁전시관,-,종로구,서울특별시 종로구,"PublicWiFi, PublicWiFiSecure@Seoul",37.577062,126.964671
우리소리도서관 국악누리방,종로1234가동주민센터 4층,종로구,서울특별시 종로구,"PublicWiFi, PublicWiFiSecure@Seoul",37.574413,126.990265
청운문학도서관,1층,종로구,서울특별시 종로구,"PublicWiFi, PublicWiFiSecure@Seoul",37.590472,126.966108
아름꿈 도서관,3층,종로구,서울특별시 종로구,"PublicWiFi, PublicWiFiSecure@Seoul",37.572703,127.017108
동묘앞역 10번 출구,CCTV 지주(주정차85),종로구,서울특별시 종로구,"PublicWiFi, PublicWiFiSecure@Seoul",37.573966,127.015773
창신초등학교 앞,CCTV 지주(주정차51),종로구,서울특별시 종로구,"PublicWiFi, PublicWiFiSecure@Seoul",37.57624,127.015667
지봉골공원,CCTV 지주(방범203),종로구,서울특별시 종로구,"PublicWiFi, PublicWiFiSecure@Seoul",37.578775,127.0148
창신역 4번 출구,CCTV 지주(방범409),종로구,서울특별시 종로구,"PublicWiFi, PublicWiFiSecure@Seoul",37.579057,127.01546
창신역 1번 출구,CCTV 지주(방범208),종로구,서울특별시 종로구,"PublicWiFi, PublicWiFiSecure@Seoul",37.57967521,127.0150886
산마루놀이터,CCTV 지주(방범195),종로구,서울특별시 종로구,"PublicWiFi, PublicWiFiSecure@Seoul",37.575458,127.012668
종로종합사회복지관 앞,CCTV 지주(방범206),종로구,서울특별시 종로구,"PublicWiFi, PublicWiFiSecure@Seoul",37.57706607,127.0123782
창신어린이공원,CCTV 지주(공원60),종로구,서울특별시 종로구,"PublicWiFi, PublicWiFiSecure@Seoul",37.577911,127.013097
창이어린이공원,CCTV 지주(방범196),종로구,서울특별시 종로구,"PublicWiFi, PublicWiFiSecure@Seoul",37.578781,127.008671
창신동,CCTV 지주(방범197),종로구,서울특별시 종로구,"PublicWiFi, PublicWiFiSecure@Seoul",37.575956,127.010393
창신동,CCTV 지주(방범187),종로구,서울특별시 종로구,"PublicWiFi, PublicWiFiSecure@Seoul",37.57358676,127.0112347
창신동,CCTV 지주(방범245),종로구,서울특별시 종로구,"PublicWiFi, PublicWiFiSecure@Seoul",37.57226374,127.0107339
창신동,CCTV 지주(방범200),종로구,서울특별시 종로구,"PublicWiFi, PublicWiFiSecure@Seoul",37.574259,127.01242
창신동,CCTV 지주(방범198),종로구,서울특별시 종로구,"PublicWiFi, PublicWiFiSecure@Seoul",37.574137,127.009286
시흥1동 치안센터 앞,시흥1동치안센타앞,금천구,서울특별시 금천구,PublicWiFi@Geumcheon,37.455541,126.904144
문일 중고등학교 앞,문일중고 앞 마을버스 정류장,금천구,서울특별시 금천구,PublicWiFi@Geumcheon,37.449647,126.899705
문향정 배드민턴장 1,영남초 옆 산책길 200m,금천구,서울특별시 금천구,PublicWiFi@Geumcheon,37.474101,126.909285
문향정 배드민턴장 2,배드민턴 1번에서 100m 뒤쪽,금천구,서울특별시 금천구,PublicWiFi@Geumcheon,37.473837,126.90986
궁도장,궁도장 입구 끝,금천구,서울특별시 금천구,PublicWiFi@Geumcheon,37.454454,126.920324
금빛공원(공연장),금빛공원 공연장 뒤쪽,금천구,서울특별시 금천구,PublicWiFi@Geumcheon,37.452679,126.904434
금천구청,"금천구청 B1 평생학습관(1), 전산교육장(1), U통합운영센터(1), 영유아프라자(1), 드림스타트(1)",금천구,서울특별시 금천구,PublicWiFi@Geumcheon,37.4567667,126.8954005
금천구청,"금천구청 1F 로비(2), 통합민원실(1),보건소차량기사대기실(1)",금천구,서울특별시 금천구,PublicWiFi@Geumcheon,37.4567667,126.8954005
금천구청,"금천구청 2F 건축과(1), 보건소 민원실(1)",금천구,서울특별시 금천구,PublicWiFi@Geumcheon,37.4567667,126.8954005
