설치장소명,설치장소상세,설치시군구명,서비스제공사명,와이파이SSID,WGS84위도,WGS84경도
은남통합보건지소,남면 상수리 204-11,양주시,남면,,37.8701,127.00634
매곡진료소,남면 매곡리 305,양주시,남면,,37.89334,126.95827
연곡진료소,백석읍 연곡리 241-2,양주시,백석읍,,37.81855,126.95048
가야5차 앞 삼거리,백석읍 복지리 105-5,양주시,백석읍,,37.78446,126.99066
양주1동주민자치센터,외미로64번길 45,양주시,양주1동,,37.7734,127.04401
장욱진미술관 앞 매표소,양주시 장흥면 권율로 193,양주시,양주1동,,37.73119,126.94883
무형문화재 합동공연장,유양동 251번지 일원,양주시,양주1동,,37.78556,127.03081
양주향교,유양동 266,양주시,양주1동,,37.78643,127.0326
양주목 관아,유양동 141-1,양주시,양주1동,,37.78554,127.02967
어둔동 남방저수지(39-382),어둔동 344-8,양주시,양주1동,,37.77745,127.01638
양주2동주민자치센터,만송동 695,양주시,양주2동,,37.79688,127.08031
유승한내들9단지.한양수자인2단지(53-742),광사동 658-1(53742),양주시,양주2동,,37.7954,127.08171
덕현초교 앞(39-264),고읍동 80-2,양주시,양주2동,,37.79814,127.08066
대방신도아파트(39-593),광사동 184-4,양주시,양주2동,,37.79203,127.07469
은현면주민자치센터,은현면 은현로 66,양주시,은현면,,37.87495,127.02451
봉암진료소,봉암리 184-5,양주시,은현면,,37.90781,127.00758
은현면 체육회관,은현면 선암리 347,양주시,은현면,,37.87571,127.02454
장흥보건지소,일영리 137-2,양주시,장흥면,,37.71785,126.94149
푸른마을아파트(39-171),장흥면 부곡리 579,양주시,장흥면,,37.71954,126.97478
회천2동주민자치센터,덕계동 467-8,양주시,회천2동,,37.82167,127.04679
여성보육비전센터,고암동 580-6,양주시,회천3동,,37.83486,127.07337
덕정주공3단지(39-556),덕정동 210,양주시,회천3동,,37.83416,127.06878
양주시체육복지센터 5층,덕정동 206,양주시,회천3동,,37.83812,127.06812
덕정주공6단지 앞(39-825),고암동 579,양주시,회천3동,,37.83689,127.07373
덕정제1어린이공원,덕정동 164-4,양주시,회천3동,,37.83818,127.06874
양주시 보훈회관,덕정동 350-118,양주시,회천3동,,37.84533,127.0623
주공7단지.중흥S클래스(39-789),고암동 583,양주시,회천3동,,37.83404,127.07473
회천4동주민자치센터,옥정동 975-2,양주시,회천4동,,37.83697,127.09004
양주시청소년상담복지센터,옥정동 145-4,양주시,회천4동,,37.83485,127.09017
옥정고.푸르지오9단지(39-670),옥정동 948-4,양주시,회천4동,,37.82657,127.08726
푸르지오9단지.e편한세상11단지(53-910),옥정동 산 46-9,양주시,회천4동,,37.82325,127.09175
e편한세상11단지(53-235),옥정동 963-20,양주시,회천4동,,37.81996,127.09179
옥정제8어린이공원 앞,옥정동 1069-1,양주시,회천4동,,37.81521,127.09584
e편한세상19단지(53-639),옥정동 937-3,양주시,회천4동,,37.81364,127.08892
옥정중앙공원,옥정동 970-3,양주시,회천4동,,37.82677,127.09101
청담로 116번길 교차로,옥정동 961,양주시,회천4동,,37.82243,127.08769
봉우근린공원,덕정동 208-12,양주시,회천3동,,37.836112,127.068358
방성어린이공원,방성리 82,양주시,백석읍,,37.805037,126.999328
가래비어린이공원,가납리 732-18,양주시,광적면,,37.822579,126.985466
신산체육공원,신산리 303-3,양주시,남면,,37.893018,126.973423
덕정제6어린이공원,덕정동 210-1,양주시,회천3동,,37.833668,127.06857
고읍제5근린공원(나리공원),광사동 731,양주시,양주2동,,37.785935,127.081886
개나리공원,복지리 303-15,양주시,백석읍,,37.781928,126.984241
기산하수처리장공연장,기산리 318-5,양주시,백석읍,,37.777342,126.939352
선암제2어린이공원,선암리 321-43,양주시,은현면,,37.872546,127.025354
조소앙선생기념공원,황방리 214-7,양주시,남면,,37.921919,126.995854
가래비시장,가납리 738-29,양주시,광적면,,37.823903,126.984368
가납제2어린이공원,가납리 838-2,양주시,광적면,,37.825382,126.983506
장욱진미술관조각공원,석현리 395,양주시,장흥면,,37.731343,126.949065
양주별산대놀이마당,유양동 262,양주시,양주1동,,37.785928,127.031632
양주역정류장,남방동 94-1,양주시,양주1동,,37.774806,127.045074
푸르네공원,고읍동 445,양주시,양주2동,,37.792146,127.078766
고읍제1어린이공원,만송동 699,양주시,양주2동,,37.795216,127.084582
나누리공원,광사동 714,양주시,양주2동,,37.792146,127.07686
고읍제5어린이공원,광사동 682,양주시,양주2동,,37.789258,127.080585
